kind,resid_rms,resid_offset,g_T,b_T,d_alpha_T_read,delta_T,g_H,b_H,d_alpha_H_read,delta_H,g_P,b_P,d_alpha_P_read,delta_P
edge_T,1.9300675282760728e-07,1.1614300828523067e-06,1.019488221073874,-0.8541930258711778,-3.3985098164971483e-09,-2.921581821161858e-10,1.0,0.0,4.119473676370071e-09,-2.1393165121313483e-10,1.0,0.0,2.3634374744226803e-09,-3.1157523781135885e-11
edge_T,1.9295017786811464e-07,1.1628650444151981e-06,1.038976442147748,-0.7083860517423557,-3.2017757742575996e-09,-9.542413987663708e-11,1.0,0.0,4.192953775237333e-09,-1.404515523458734e-10,1.0,0.0,2.3697386767426277e-09,-2.4856321461188496e-11
edge_T,1.9289947769749523e-07,1.1642176718576743e-06,1.058464663221622,-0.5625790776135341,-3.0175707144895914e-09,8.878091989137107e-11,1.0,0.0,4.261529171190321e-09,-7.187615639288519e-11,1.0,0.0,2.375750901735434e-09,-1.8844096468382125e-11
edge_T,1.9285394409106734e-07,1.1654946566609478e-06,1.077952884295496,-0.41677210348471216,-2.8448315252675297e-09,2.615201091134328e-10,1.0,0.0,4.325598864002904e-09,-7.806463580301712e-12,1.0,0.0,2.3814901478129178e-09,-1.3104850390898448e-11
edge_T,1.9281296529808574e-07,1.1667020124007437e-06,1.09744110536937,-0.27096512935589023,-2.6826048780064456e-09,4.2374675637451696e-10,1.0,0.0,4.385523005800702e-09,5.211767821749612e-11,1.0,0.0,2.386971459609852e-09,-7.62353859396426e-12
edge_T,1.928129827201957e-07,1.1683864108919474e-06,1.09744110536937,0.062368203977443165,-2.5514220156014983e-09,5.549296187794642e-10,1.0,0.0,4.464849199656347e-09,1.3144387207314063e-10,1.0,0.0,2.3978341968680852e-09,3.2391986642689894e-12
edge_T,1.928510522419009e-07,1.168941604267776e-06,1.077952884295496,0.24989456318195452,-2.572892387816011e-09,5.334592465649515e-10,1.0,0.0,4.48842648798056e-09,1.5502116039735394e-10,1.0,0.0,2.4037823983873647e-09,9.187400183548529e-12
edge_T,1.9289024650684206e-07,1.169511343608254e-06,1.058464663221622,0.4374209223864659,-2.594490065667898e-09,5.118615687130646e-10,1.0,0.0,4.512352657453458e-09,1.7894732987025216e-10,1.0,0.0,2.4100730380641054e-09,1.5478039860289182e-11
edge_T,1.929305908349416e-07,1.1700962816631558e-06,1.038976442147748,0.6249472815909767,-2.616272298985826e-09,4.900793353951364e-10,1.0,0.0,4.536618732417584e-09,2.032134048343781e-10,1.0,0.0,2.416726821867413e-09,2.213182366359663e-11
edge_T,1.9297210886148818e-07,1.1706971211616072e-06,1.019488221073874,0.8124736407954883,-2.638311192304339e-09,4.680404420766236e-10,1.0,0.0,4.5612128770267214e-09,2.278075494435154e-10,1.0,0.0,2.423765727874619e-09,2.917072967080275e-11
edge_H,1.9250957988034575e-07,1.1604491790282137e-06,1.0,0.0,-2.5528765220539703e-09,5.534751123269922e-10,0.9494662293095156,3.4408722045022704,4.396324517303464e-09,6.291918972025779e-11,1.0,0.0,2.347538630132619e-09,-4.7056368071197413e-11
